locationabbr,obesity_pct,total_sample_size,state_median_income
AK,30.865531033400103,293023.0,98190.0
AL,35.499646901001654,482301.0,60660.0
AR,35.84736045411542,375235.0,63250.0
AZ,29.375133536763403,698684.0,82660.0
CA,25.35369069188879,787034.0,89870.0
CO,22.332886853172386,816311.0,96640.0
CT,27.180009289876338,652323.0,92240.0
DC,23.41580197990846,273548.0,111000.0
DE,32.217075794207865,307728.0,86340.0
FL,27.758202950339758,1111533.0,72200.0
GA,32.17824582755143,527508.0,72420.0
GU,31.60923882832889,106139.0,
HI,23.673590873189994,569750.0,97360.0
IA,34.08857864042988,593467.0,80860.0
ID,29.49159834962338,408634.0,73910.0
IL,31.018938080333715,363907.0,87820.0
IN,34.08606755117919,690173.0,76910.0
KS,32.761720305386596,1091469.0,84830.0
KY,34.12432760855476,567824.0,61980.0
LA,36.03570189109349,429910.0,57650.0
MA,24.479162230648065,803085.0,106500.0
MD,30.910809918504228,1035882.0,102000.0
ME,30.166608567686186,766508.0,75740.0
MI,32.8719759916066,733910.0,76960.0
MN,29.129995829485274,1129357.0,90340.0
MO,33.331642026435894,549102.0,78290.0
MS,37.21315836735671,417605.0,55060.0
MT,26.857421398788603,519235.0,79220.0
NC,31.32959939268508,471584.0,68610.0
ND,32.833672581620824,414937.0,76960.0
NE,32.12583164416632,1193389.0,89190.0
NH,28.64869732271308,455984.0,98780.0
NJ,26.544002437019202,681160.0,91590.0
NM,29.046206937810968,501455.0,60980.0
NV,27.57742275494673,262800.0,81310.0
NY,27.10215707217557,1206821.0,81600.0
OH,33.759001210483355,923598.0,73770.0
OK,34.73604362362359,493219.0,67330.0
OR,29.001892216807985,405926.0,88740.0
PA,30.49818763475485,571408.0,79820.0
PR,31.855639442122314,329678.0,
RI,28.11341308477654,416377.0,81860.0
SC,33.22484823854092,740636.0,69100.0
SD,32.062038180599174,510102.0,81740.0
TN,34.036733622681034,403897.0,72700.0
TX,32.95567083298342,857352.0,79060.0
US,30.11646979535305,31836194.0,
UT,26.98071847045483,825448.0,101200.0
VA,30.837623060812426,637896.0,96490.0
VI,33.026075634728066,33794.0,
VT,26.40067860695696,484522.0,85190.0
WA,28.55483273669917,1085534.0,93440.0
WI,32.85262314019329,475251.0,79690.0
WV,37.579528045405695,411226.0,60410.0
WY,28.826473807286547,374608.0,77200.0
